name,info,sku,cost,deliverable,on_sale,price,manual_sale,count,in_store_warranty,parts_labor_warranty,photos,type,subtype
Whirlpool Cabrio Gas Dryer,"This unit has been tested and works. It has been cleaned inside and out and is ready to be delivered to your home. This unit comes with 8 drying cycles, 5 drying temperatures, 3 dryness cycles, wrinkle shield, time dry, estimated time remaining, end of cycle signal, eco monitor, and a push to start/ pause button. This unit comes with a 90-day parts and labor warranty for the regular price or a 30-day parts and labor warranty for the sale price from a 5-star business. If interested message me or come on into 5815 Lomas Boulevard Northeast. We accept cash, credit, debit cards and ACIMA no credit payment plan options. We hope to see you in soon!",4921.0,0,True,True,32900,22900,1,30,90,"https://mscapplianceabq.com/wp-content/uploads/2026/01/20260123_152413-rotated.jpg
https://mscapplianceabq.com/wp-content/uploads/2026/01/20260123_152422.jpg
https://mscapplianceabq.com/wp-content/uploads/2026/01/20260123_152430.jpg",Dryer,Gas
Whirlpool Cabrio Electric Dryer,"This unit has been tested and works. It has been cleaned inside and out and is ready to be delivered to your home. This unit comes with 8 drying cycles, 5 drying temperatures, 3 dryness cycles, wrinkle shield, time dry, damp dry signal, end of cycle signal, estimated time remaining, Eco monitor, and a push to start/ pause button. This unit comes with a 90-day parts and labor warranty for the regular price or a 30-day parts and labor warranty for the sale price from a 5-star business. If interested message me or come on into 5815 Lomas Boulevard Northeast. We accept cash, credit, debit cards and ACIMA no credit payment plan options. We hope to see you in soon!",4822.0,0,True,True,32900,22900,1,30,90,"https://mscapplianceabq.com/wp-content/uploads/2025/12/20251227_123040-rotated.jpg
https://mscapplianceabq.com/wp-content/uploads/2025/12/20251227_123046.jpg
https://mscapplianceabq.com/wp-content/uploads/2025/12/20251227_123053.jpg
https://mscapplianceabq.com/wp-content/uploads/2025/12/20251227_123103.jpg",Dryer,Electric
Whirlpool Cabrio Electric Dryer,"This unit has been tested and works. It has been cleaned inside and out and is ready to be delivered to your home. This unit comes with 9 drying cycles, 5 drying temperatures, 4 dryness cycles, wrinkle shield, time dry, estimated time remaining, damp dry signal, eco minitor, and a push to start/ pause button. This unit comes with a 90-day parts and labor warranty for the regular price or a 30-day parts and labor warranty for the sale price from a 5-star business. If interested message me or come on into 5815 Lomas Boulevard Northeast. We accept cash, credit, debit cards and ACIMA no credit payment plan options. We hope to see you in soon!",4920.0,0,True,True,32900,22900,1,30,90,"https://mscapplianceabq.com/wp-content/uploads/2026/01/20260123_151822-rotated.jpg
https://mscapplianceabq.com/wp-content/uploads/2026/01/20260123_151827.jpg
https://mscapplianceabq.com/wp-content/uploads/2026/01/20260123_151833-rotated.jpg",Dryer,Electric
Whirlpool Cabrio Electric Dryer,"This unit has been tested and works. It has been cleaned inside and out and is ready to be delivered to your home. This unit comes with 4 drying cycles, 4 drying temperatures, 4 dryness cycles, wrinkle shield, time dry, and a push to start/ pause button. This unit comes with a 90-day parts and labor warranty from a 5-star business. If interested message me or come on into 5815 Lomas Boulevard Northeast. We accept cash, credit, debit cards and ACIMA no credit payment plan options. We hope to see you in soon!",4868.0,0,True,True,29900,19900,1,30,90,"https://mscapplianceabq.com/wp-content/uploads/2026/01/20260112_124323-rotated.jpg
https://mscapplianceabq.com/wp-content/uploads/2026/01/20260112_124331.jpg
https://mscapplianceabq.com/wp-content/uploads/2026/01/20260112_124337.jpg",Dryer,Electric
Turquoise Sky Electrolux Front Load Washer/Gas Dryer Set w/Steam and Pedestals,"This set has been tested and works. Both the washer and dryer have been cleaned inside and out and are ready to be delivered to your home. The washer comes with, 12 washing cycles, fast wash, deep clean sanitize, hand wash, wave-touch controls and a push to start/pause button.The dryer comes with 12 drying cycles, perfect steam, wave-touch controls and a push to start/pause button. This set comes with a 90-day parts and labor warranty from a 5-star business. If interested message me or come on into 5815 Lomas Boulevard Northeast. We accept cash, credit, debit cards and ACIMA no credit payment plan options. We hope to see you in soon!",4117.0,0,True,False,79900,0,1,30,90,"https://mscapplianceabq.com/wp-content/uploads/2025/06/20250621_093700-1.jpg
https://mscapplianceabq.com/wp-content/uploads/2025/06/20250621_093714-1-rotated.jpg
https://mscapplianceabq.com/wp-content/uploads/2025/06/20250621_093725-1-rotated.jpg
https://mscapplianceabq.com/wp-content/uploads/2025/06/20250621_093740-1-rotated.jpg
https://mscapplianceabq.com/wp-content/uploads/2025/06/20250621_093758-1.jpg
https://mscapplianceabq.com/wp-content/uploads/2025/06/20250621_093807-1-rotated.jpg
https://mscapplianceabq.com/wp-content/uploads/2025/06/20250621_093813.jpg
https://mscapplianceabq.com/wp-content/uploads/2025/06/20250621_093820-1.jpg
https://mscapplianceabq.com/wp-content/uploads/2025/06/20250621_093829-1-rotated.jpg
https://mscapplianceabq.com/wp-content/uploads/2025/06/20250621_093841-1-rotated.jpg",Appliance Set,Washer & Dryer Set
"Silver Steel Bespoke Samsung Front Load Washer W/ Steam, 5.3 Cu Ft","<span;>This unit has been cleaned inside and out and is ready to be delivered to your home. This unit comes with 13 washing cycles, 5 wash temperatures, 5 soil levels, estimated time remaining, delay end, 5 spin speeds, self clean cycle, steam, pre soak, sanitize and a hold to start button. This unit comes with a 90 day parts and labor warranty from a 5-star business. If you’re interested message me or come into 5815 Lomas Blvd NE. We accept cash, credit, debit cards and ACIMA no credit payment plan options. We hope to see you in soon!",4452.0,0,True,True,89900,79900,1,30,90,"https://mscapplianceabq.com/wp-content/uploads/2025/09/PXL_20250917_202343191.jpg
https://mscapplianceabq.com/wp-content/uploads/2025/09/PXL_20250917_202408620.jpg
https://mscapplianceabq.com/wp-content/uploads/2025/09/PXL_20250917_202435341.jpg",Washer,Front Load
Silver Frigidaire Front Load Washer w/Pedestal,"This unit has been tested and works. It has been cleaned inside and out and is ready to be delivered to your home. This unit comes with 10 washing cycles, 5 wash and rinse temperatures, 5 spin speeds, 5 soil levels, energy saver, stain clean, freshwater rinse, estimated time remaining, spin only, end of cycle signal and a push to start/pause and cancel button. This unit comes with a 90-day parts and labor warranty from a 5-star business. If interested message me or come on into 5815 Lomas Boulevard Northeast. We accept cash, credit, debit cards and ACIMA no credit payment plan options. We hope to see you in soon!",4533.0,0,True,True,89900,79900,1,30,90,"https://mscapplianceabq.com/wp-content/uploads/2025/10/20251004_121227-rotated.jpg
https://mscapplianceabq.com/wp-content/uploads/2025/10/20251004_121235.jpg
https://mscapplianceabq.com/wp-content/uploads/2025/10/20251004_121239.jpg
https://mscapplianceabq.com/wp-content/uploads/2025/10/20251004_121246.jpg
https://mscapplianceabq.com/wp-content/uploads/2025/10/20251004_121251-rotated.jpg",Washer,Front Load
Samsung Top Load Washer w/ Active Waterjet,"This unit has been tested and works perfectly. It has been cleaned inside and out and is ready to be delivered to your home. This unit comes with 10 washing cycles, 5 rinse temperatures, 5 spin speeds, 5 soil levels, up to 5 additional rinses, deep fill, presoak, delay end, fabric softener, alarm, delicates, quick wash, self clean, and a push to start/pause and power button. This unit comes with a 90-day parts and labor warranty from a 5-star business. If interested message me or come on into 5815 Lomas Boulevard Northeast. We accept cash, credit, and debit cards and ACIMA no credit payment plan options. We hope to see you in soon!",4461.0,0,True,False,44900,0,1,30,90,"https://mscapplianceabq.com/wp-content/uploads/2025/09/PXL_20250922_210257689.jpg
https://mscapplianceabq.com/wp-content/uploads/2025/09/PXL_20250922_210302489.jpg
https://mscapplianceabq.com/wp-content/uploads/2025/09/PXL_20250922_210306727.jpg",Washer,Top Load
Samsung Top Load Washer & Steam Gas Dryer Set,"This set has been tested and works and has been cleaned inside and out and is ready to be delivered to your home. The washer comes with 12 washing cycles, 5 wash and rinse temperatures, 5 soil levels, 5 spin speeds, 5 extra rinse options, presoak, delay end, fabric softener, deep fill, super speed, smart care, quick wash, estimated time remaining, and a push to start/pause & power button. The dryer is a STEAM dryer and comes with 12 drying cycles, 5 drying temperatures, 5 dry levels, time dry, wrinkle prevent, eco dry, damp alert, drum light, steam sanitize, and a push to start/pause and power button. This set comes with a 90-day parts and labor warranty from a 5-star business. If interested message me or come on into 5815 Lomas Boulevard Northeast. We accept cash, credit, debit cards and ACIMA no credit payment plan options. We hope to see you in soon!",4698.0,0,True,False,74900,0,1,30,90,"https://mscapplianceabq.com/wp-content/uploads/2025/11/PXL_20251120_201622453.jpg
https://mscapplianceabq.com/wp-content/uploads/2025/11/PXL_20251120_201642225.jpg
https://mscapplianceabq.com/wp-content/uploads/2025/11/PXL_20251120_201648982.jpg
https://mscapplianceabq.com/wp-content/uploads/2025/11/PXL_20251120_201658162.jpg
https://mscapplianceabq.com/wp-content/uploads/2025/11/PXL_20251120_201706268.jpg",Appliance Set,Washer & Dryer Set
Samsung Top Load Washer,"This unit has been tested and works. It has been cleaned inside and out and is ready to be delivered to your home. This unit comes with 8 washing cycles, 4 rinse temperatures, 4 load sizes, quick wash, delicates, extra rinse, self clean, and a push to start/pause and power button. This unit comes with a 90-day parts and labor warranty from a 5-star business. If interested message me or come on into 5815 Lomas Boulevard Northeast. We accept cash, credit, and debit cards and ACIMA no credit payment plan options. We hope to see you in soon!",4359.0,0,True,True,39900,37900,1,30,90,"https://mscapplianceabq.com/wp-content/uploads/2025/08/20250821_140042-rotated.jpg
https://mscapplianceabq.com/wp-content/uploads/2025/08/20250821_140046.jpg
https://mscapplianceabq.com/wp-content/uploads/2025/08/20250821_140058.jpg",Washer,Top Load
